filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
scb.jpg,138869,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,0,"{""name"":""rect"",""x"":166,""y"":415,""width"":524,""height"":66}","{""name"":""sender_name"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scb.jpg,138869,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,1,"{""name"":""rect"",""x"":477,""y"":486,""width"":214,""height"":45}","{""name"":""sender_account"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scb.jpg,138869,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,2,"{""name"":""rect"",""x"":160,""y"":577,""width"":532,""height"":61}","{""name"":""reciever_account"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scb.jpg,138869,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,3,"{""name"":""rect"",""x"":477,""y"":641,""width"":217,""height"":42}","{""name"":""reciever_account"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scb.jpg,138869,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,4,"{""name"":""rect"",""x"":364,""y"":742,""width"":326,""height"":66}","{""name"":""amount"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scb.jpg,138869,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,5,"{""name"":""rect"",""x"":496,""y"":866,""width"":198,""height"":147}","{""name"":""qr_code"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scb.jpg,138869,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,6,"{""name"":""rect"",""x"":204,""y"":269,""width"":194,""height"":42}","{""name"":""transfer_date"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scb.jpg,138869,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,7,"{""name"":""rect"",""x"":408,""y"":269,""width"":78,""height"":40}","{""name"":""transfer_time"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scb.jpg,138869,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,8,"{""name"":""rect"",""x"":239,""y"":321,""width"":372,""height"":42}","{""name"":""reference_number"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scb.jpg,138869,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,9,"{""name"":""rect"",""x"":213,""y"":51,""width"":287,""height"":87}","{""name"":""sender_bank"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
