filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
KBANK.jpg,154195,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,0,"{""name"":""rect"",""x"":27,""y"":60,""width"":137,""height"":45}","{""name"":""transfer_date"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
KBANK.jpg,154195,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,1,"{""name"":""rect"",""x"":175,""y"":145,""width"":475,""height"":41}","{""name"":""sender_name"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
KBANK.jpg,154195,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,2,"{""name"":""rect"",""x"":175,""y"":192,""width"":307,""height"":42}","{""name"":""sender_bank"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
KBANK.jpg,154195,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,3,"{""name"":""rect"",""x"":173,""y"":240,""width"":309,""height"":43}","{""name"":""sender_account"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
KBANK.jpg,154195,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,4,"{""name"":""rect"",""x"":170,""y"":359,""width"":476,""height"":50}","{""name"":""reciever_name"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
KBANK.jpg,154195,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,5,"{""name"":""rect"",""x"":172,""y"":414,""width"":306,""height"":42}","{""name"":""reciever_bank"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
KBANK.jpg,154195,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,6,"{""name"":""rect"",""x"":173,""y"":459,""width"":305,""height"":51}","{""name"":""reciever_account"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
KBANK.jpg,154195,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,7,"{""name"":""rect"",""x"":514,""y"":587,""width"":228,""height"":258}","{""name"":""qr_code"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
KBANK.jpg,154195,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,8,"{""name"":""rect"",""x"":42,""y"":602,""width"":437,""height"":46}","{""name"":""reference_number"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
KBANK.jpg,154195,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,9,"{""name"":""rect"",""x"":50,""y"":699,""width"":427,""height"":45}","{""name"":""amount"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
KBANK.jpg,154195,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,10,"{""name"":""rect"",""x"":53,""y"":794,""width"":429,""height"":42}","{""name"":""fee"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
KBANK.jpg,154195,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,11,"{""name"":""rect"",""x"":171,""y"":60,""width"":133,""height"":44}","{""name"":""transfer_time"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
