filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
gsb.jpg,212992,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,0,"{""name"":""rect"",""x"":218,""y"":261,""width"":494,""height"":91}","{""name"":""amount"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
gsb.jpg,212992,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,1,"{""name"":""rect"",""x"":308,""y"":383,""width"":461,""height"":47}","{""name"":""reference_number"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
gsb.jpg,212992,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,2,"{""name"":""rect"",""x"":280,""y"":434,""width"":222,""height"":43}","{""name"":""transfer_date"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
gsb.jpg,212992,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,3,"{""name"":""rect"",""x"":512,""y"":432,""width"":144,""height"":43}","{""name"":""transfer_time"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
gsb.jpg,212992,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,4,"{""name"":""rect"",""x"":206,""y"":580,""width"":549,""height"":121}","{""name"":""sender_name"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
gsb.jpg,212992,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,5,"{""name"":""rect"",""x"":216,""y"":699,""width"":366,""height"":47}","{""name"":""sender_bank"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
gsb.jpg,212992,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,6,"{""name"":""rect"",""x"":214,""y"":745,""width"":362,""height"":58}","{""name"":""sender_account"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
gsb.jpg,212992,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,7,"{""name"":""rect"",""x"":216,""y"":899,""width"":531,""height"":66}","{""name"":""reciever_name"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
gsb.jpg,212992,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,8,"{""name"":""rect"",""x"":216,""y"":960,""width"":376,""height"":49}","{""name"":""reciever_bank"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
gsb.jpg,212992,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,9,"{""name"":""rect"",""x"":216,""y"":1008,""width"":362,""height"":53}","{""name"":""reciever_account"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
gsb.jpg,212992,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,10,"{""name"":""rect"",""x"":306,""y"":1300,""width"":286,""height"":269}","{""name"":""qr_code"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
